room,wall,air_temp_degC,air_humidity_percent,wall_x_coord_cm,wall_y_coord_cm,wall_humidity_digits,wall_temperature_degC
Fahrradkeller,Südwand,20.0,50,0,0,75.5,14.0
Fahrradkeller,Südwand,20.0,50,0,20,58.8,15.3
Fahrradkeller,Südwand,20.0,50,0,50,50.1,16.0
Fahrradkeller,Südwand,20.0,50,0,100,60.5,16.0
Fahrradkeller,Südwand,20.0,50,0,150,67.5,16.2
Fahrradkeller,Südwand,20.0,50,0,200,60.0,16.2
Fahrradkeller,Südwand,20.0,50,0,230,65.5,15.9
Fahrradkeller,Südwand,20.0,50,0,250,52.9,15.9
Fahrradkeller,Südwand,20.0,50,20,0,57.1,16.2
Fahrradkeller,Südwand,20.0,50,20,20,60.6,16.8
Fahrradkeller,Südwand,20.0,50,20,50,51.8,15.7
Fahrradkeller,Südwand,20.0,50,20,100,35.7,16.9
Fahrradkeller,Südwand,20.0,50,20,200,42.0,16.1
Fahrradkeller,Südwand,20.0,50,20,230,44.8,16.6
Fahrradkeller,Südwand,20.0,50,20,250,51.1,15.8
Fahrradkeller,Südwand,20.0,50,50,0,90.1,15.2
Fahrradkeller,Südwand,20.0,50,50,20,59.0,16.9
Fahrradkeller,Südwand,20.0,50,50,50,39.0,17.7
Fahrradkeller,Südwand,20.0,50,50,100,34.0,17.7
Fahrradkeller,Südwand,20.0,50,50,200,25.6,17.3
Fahrradkeller,Südwand,20.0,50,50,230,27.3,17.6
Fahrradkeller,Südwand,20.0,50,50,250,35.0,18.1
Fahrradkeller,Südwand,20.0,50,100,0,81.4,16.4
Fahrradkeller,Südwand,20.0,50,100,20,48.7,17.0
Fahrradkeller,Südwand,20.0,50,100,50,33.1,17.5
Fahrradkeller,Südwand,20.0,50,100,100,32.5,17.5
Fahrradkeller,Südwand,20.0,50,100,200,31.8,17.7
Fahrradkeller,Südwand,20.0,50,100,230,33.1,17.6
Fahrradkeller,Südwand,20.0,50,100,250,59.1,17.6
Fahrradkeller,Südwand,20.0,50,200,0,86.0,15.2
Fahrradkeller,Südwand,20.0,50,200,20,39.1,16.8
Fahrradkeller,Südwand,20.0,50,200,50,41.3,17.1
Fahrradkeller,Südwand,20.0,50,200,100,37.9,17.4
Fahrradkeller,Südwand,20.0,50,200,200,26.6,17.6
Fahrradkeller,Südwand,20.0,50,200,230,29.6,17.6
Fahrradkeller,Südwand,20.0,50,200,250,28.6,17.8
Fahrradkeller,Südwand,20.0,50,300,0,75.2,16.8
Fahrradkeller,Südwand,20.0,50,300,20,50.2,16.7
Fahrradkeller,Südwand,20.0,50,300,50,31.3,17.0
Fahrradkeller,Südwand,20.0,50,300,100,31.8,17.3
Fahrradkeller,Südwand,20.0,50,300,200,25.3,17.6
Fahrradkeller,Südwand,20.0,50,300,230,30.0,18.2
Fahrradkeller,Südwand,20.0,50,300,250,29.1,17.8
